id,user,transaction_date,sales_amount,join_date,region,,
47432,6565,2016-01-08,43.15,2014-08-29,I,,
47433,6645,2016-01-08,4.43,2013-12-24,I,,
47434,6895,2016-01-08,50.74,2016-01-08,S,,
47435,7977,2016-01-08,80.67,2014-09-02,L,,
47436,8003,2016-01-08,74.51,2016-01-08,F,,
47437,5432,2016-01-08,11.87,2009-08-18,G,,
47438,9125,2016-01-08,58.90,2016-01-08,S,,
47439,5161,2016-01-08,34.34,2014-01-29,F,,
47440,5669,2016-01-08,17.88,2014-12-05,G,,
47441,9984,2016-01-08,51.30,2016-01-08,A,,
47442,113,2016-01-09,10.65,2005-12-28,B,,
47443,123,2016-01-09,17.12,2002-10-25,B,,
47444,1023,2016-01-09,40.45,2010-04-12,C,,
47445,277,2016-01-09,51.52,2011-12-07,O,,
47446,370,2016-01-09,15.57,2009-07-13,B,,
47447,998,2016-01-09,8.36,2010-11-24,B,,
47448,1453,2016-01-09,38.06,2014-12-20,M,,
47449,1390,2016-01-09,16.31,2010-06-08,B,,
47450,664,2016-01-09,10.49,2010-01-21,B,,
47451,1600,2016-01-09,22.78,2006-10-30,B,,
47452,869,2016-01-09,46.52,2010-06-28,C,,
47453,2101,2016-01-09,43.35,1999-01-21,B,,
47454,629,2016-01-09,13.46,2013-07-02,N,,
47455,2572,2016-01-09,44.13,2015-01-31,O,,
47456,2906,2016-01-09,34.98,2015-06-06,I,,
47457,2960,2016-01-09,23.69,2015-01-06,C,,
47458,2960,2016-01-09,9.83,2015-01-06,C,,
47459,2073,2016-01-09,98.77,2014-08-20,C,,
47460,1639,2016-01-09,74.88,2013-07-01,G,,
47461,1915,2016-01-09,21.58,2013-06-06,A,,
47462,1693,2016-01-09,7.30,2013-06-05,S,,
47463,4060,2016-01-09,67.95,2016-01-09,B,,
47464,1756,2016-01-09,54.77,2013-07-01,G,,
47465,3561,2016-01-09,10.57,2013-07-01,H,,
47466,2297,2016-01-09,164.76,2013-07-02,N,,
47467,3649,2016-01-09,55.27,2013-11-19,C,,
47468,4580,2016-01-09,19.67,2013-09-02,C,,
47469,3750,2016-01-09,36.95,2015-02-14,G,,
47470,4820,2016-01-09,19.03,2014-01-09,M,,
47471,3083,2016-01-09,20.07,2015-01-20,S,,
47472,4873,2016-01-09,21.31,2013-10-04,G,,
47473,4240,2016-01-09,62.63,2013-08-07,H,,
47474,6470,2016-01-09,0.00,2014-11-07,I,,
47475,5020,2016-01-09,34.00,2013-12-03,H,,
47476,7161,2016-01-09,15.97,2010-03-30,C,,
47477,4313,2016-01-09,35.98,2013-10-04,B,,
47478,6921,2016-01-09,135.73,2015-12-05,C,,
47479,3242,2016-01-09,19.61,2014-03-21,I,,
47480,6885,2016-01-09,47.78,2012-09-15,G,,
47481,6139,2016-01-09,8.11,2010-09-19,G,,
47482,4747,2016-01-09,17.13,2014-02-10,G,,
47483,5246,2016-01-09,112.62,2013-11-09,B,,
47484,5705,2016-01-09,39.26,2011-04-01,C,,
47485,5317,2016-01-09,57.99,2015-04-03,G,,
47486,8604,2016-01-09,68.36,2010-07-09,C,,
47487,6707,2016-01-09,34.36,2010-10-12,C,,
47488,4568,2016-01-09,34.53,2014-04-18,L,,
47489,6480,2016-01-09,49.75,2004-04-30,G,,
47490,6732,2016-01-09,77.71,2014-01-15,D,,
47491,8375,2016-01-09,19.47,2011-04-13,G,,
47492,6921,2016-01-09,0.00,2015-12-05,C,,
47493,7062,2016-01-09,63.45,2015-01-10,H,,
47494,8200,2016-01-09,43.51,2004-08-30,I,,
47495,6179,2016-01-09,30.96,2015-03-01,M,,
47496,7298,2016-01-09,34.24,2005-06-18,U,,
47497,8383,2016-01-09,10.57,2012-11-08,B,,
47498,65,2016-01-10,115.98,2007-05-10,C,,
47499,751,2016-01-10,19.52,2009-10-28,E,,
47500,661,2016-01-10,16.71,2009-09-18,D,,
47501,155,2016-01-10,10.57,2008-05-17,I,,
47502,188,2016-01-10,10.61,2011-02-07,B,,
47503,769,2016-01-10,6.48,2010-05-31,B,,
47504,245,2016-01-10,2.30,2010-11-13,H,,
47505,1076,2016-01-10,27.79,2012-01-22,D,,
47506,2823,2016-01-10,25.02,2009-05-17,B,,
47507,1096,2016-01-10,11.46,2014-10-28,C,,
47508,3198,2016-01-10,46.58,2015-04-02,B,,
47509,2823,2016-01-10,0.00,2009-05-17,B,,
47510,3802,2016-01-10,66.83,2016-01-10,H,,
47511,967,2016-01-10,12.70,2015-07-27,C,,
47512,2823,2016-01-10,262.80,2009-05-17,B,,
47513,1756,2016-01-10,43.38,2013-07-01,G,,
47514,2486,2016-01-10,42.28,2013-09-02,G,,
47515,3555,2016-01-10,94.02,2014-03-21,D,,
47516,5131,2016-01-10,31.80,2013-07-02,S,,
47517,4281,2016-01-10,24.27,2013-11-04,G,,
47518,6034,2016-01-10,33.75,2013-12-18,I,,
47519,6297,2016-01-10,31.80,2016-01-10,F,,
47520,4776,2016-01-10,33.68,2013-10-04,C,,
47521,6461,2016-01-10,35.98,2015-01-19,C,,
47522,5875,2016-01-10,11.06,2014-03-21,F,,
47523,6870,2016-01-10,32.70,2014-11-08,C,,
47524,6481,2016-01-10,62.03,2013-10-30,O,,
47525,7652,2016-01-10,51.48,2015-09-04,E,,
47526,4854,2016-01-10,47.22,2014-03-21,D,,
47527,8280,2016-01-10,20.81,2015-11-18,C,,
47528,9240,2016-01-10,65.74,2015-09-16,C,,
47529,7207,2016-01-10,28.61,2006-11-27,L,,
47530,10,2016-01-11,39.90,2001-01-01,C,,
47531,776,2016-01-11,43.53,2011-03-05,B,,
